Hotel Atlanta Frochot	3 etoiles. Review : 7.8. URL : http://www.easytobook.com/en/france/paris/paris/hotel-atlanta-frochot/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	9 &#44  rue Frochot 75009 Paris France	48.88180	2.33730	hotels
Hotel Banke	4 etoiles. Review : 9. URL : http://www.easytobook.com/en/france/paris/paris/hotel-banke/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	20 Rue La Fayette 75009 Paris France	48.87390	2.33640	hotels
West End Hotel	4 etoiles. Review : 9. URL : http://www.easytobook.com/en/france/paris/paris/west-end-hotel/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	7 &#44  rue Clement Marot 75008 Paris France	48.86720	2.30400	hotels
Armstrong Hotel	2 etoiles. Review : 7.8. URL : http://www.easytobook.com/en/france/paris/paris/armstrong-hotel/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	36 Rue De La Croix Saint Simon 75020 Paris France	48.85500	2.40920	hotels
Best Western Premier Amiral Hotel	4 etoiles. Review : 8. URL : http://www.easytobook.com/en/france/paris/paris/best-western-premier-amiral-hotel/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	98 avenue d'Italie 75013 Paris France	48.82530	2.35750	hotels
Color Design Hotel	3 etoiles. Review : 8.2. URL : http://www.easytobook.com/en/france/paris/paris/relais-de-paris-lyon-bastille/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	35 rue de Citeaux 75012 Paris France	48.84940	2.38100	hotels
Barock Hotel	4 etoiles. Review : 7.2. URL : http://www.easytobook.com/en/france/paris/paris/barock-hotel-56681/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	11 rue de montholon 75009 Paris France	48.87670	2.34760	hotels
Hotel Saint Dominique	2 etoiles. Review : 8.2. URL : http://www.easytobook.com/en/france/paris/paris/hotel-saint-dominique/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	62 Rue Saint Dominique 75007 Paris France	48.85990	2.30890	hotels
Hotel Printania Grenelle Eiffel	3 etoiles. Review : 7.5. URL : http://www.easytobook.com/en/france/paris/paris/hotel-printania-grenelle-eiffel/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	142 boulevard de grenelle 75015 Paris France	48.84860	2.29890	hotels
Hotel Riviera	2 etoiles. Review : 7.3. URL : http://www.easytobook.com/en/france/paris/paris/hotel-riviera/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	6 Rue Turgot 75009 Paris France	48.88020	2.34540	hotels
Faubourg 216 224	3 etoiles. Review : 7.2. URL : http://www.easytobook.com/en/france/paris/paris/faubourg-2l6-224/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	224 Rue Du Faubourg Saint Denis 75010 Paris France	48.88390	2.35920	hotels
Hotel Mon Reve Amadeus	0 etoiles. Review : 7.8. URL : http://www.easytobook.com/en/france/paris/paris/hotel-mon-reve-amadeus/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	76 Avenue Felix Faure 75015 Paris France	48.83990	2.28480	hotels
